Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Consumption Tips
Choux swans,216.34,14.92,4.35,15.6,6.13,0.35,92.21,44.67,Those with cardiovascular conditions should limit intake to once or twice a week. | A great option during festive occasions — just keep portions in check.
Potato aigrettes,530.03,8.01,2.35,54.24,0.73,0.45,49.7,9.2,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Works well as a side dish or main course depending on your daily energy needs.
Cream horns,408.23,23.12,3.42,33.55,7.12,0.6,93.08,30.93,Opt for smaller servings and pair with salads or raw vegetables for balance. | Balance with lighter meals throughout the day to manage daily calorie intake.
Savoury cheese horns,295.15,21.38,5.66,20.71,2.74,0.73,50.63,121.83,Ideal when combined with seasonal vegetables for a wholesome meal. | A good addition for elderly individuals to maintain healthy bone density.
Paneer patties,338.58,22.79,7.6,23.96,4.04,1.18,45.19,129.9,Consume in moderate portions and savour mindfully for maximum enjoyment. | Include in your weekly rotation to diversify your nutritional intake.
Vegetable patties ,261.92,20.98,4.01,17.74,1.49,2.62,39.33,18.96,A great option during festive occasions — just keep portions in check. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Pearl millet infant food (Bajra shishu aahaar),362.44,62.1,11.98,6.62,26.06,7.84,0,118.52,Combining with a protein source makes this a more complete and satisfying meal. | Pair with complex carbs for a complete and balanced macronutrient meal.
Sajina,345.26,66.87,10.81,3.03,25.89,7.62,0,54.4,Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact. | A great option during festive occasions — just keep portions in check.
Cereal mix ,120.81,21.84,3.32,2.02,10.68,2.03,0,21.4,Pair with a glass of water or herbal tea for optimal digestive comfort. | Include in your weekly rotation to diversify your nutritional intake.
Pulse mix,83.29,16,3.16,0.54,6.59,2.25,0,14.93,Can be eaten generously without fear of calorie overload; great as a snack. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Shishu ahar,93.37,17.42,2.61,1.43,6.61,1.02,0,13.78,Consume in moderate portions and savour mindfully for maximum enjoyment. | Light on the digestive system; suitable for those recovering from illness.
Cereal pulse mix with amylase rice flour,151.57,27.8,4.27,2.74,8.84,3.47,0,12.61,Light on the digestive system; suitable for those recovering from illness. | Fresh preparation retains the most nutrients; avoid overcooking.
Banana groundnut paste/puree,213.19,36.15,4.27,5.45,31.67,1.7,0,74.93,Ideal when combined with seasonal vegetables for a wholesome meal. | Limit frequency for those managing diabetes or insulin sensitivity.
Rice dal porridge (Chawal dal ki khichdi/khichri),383.33,65.04,10.8,8.33,26.54,4.51,0,50.46,"Add a side of leafy greens to boost micronutrient absorption. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Lentils and semolina porridge (Dal suji porridge/daliya),117.29,23.19,3.26,1.06,13.84,1.44,0,44.74,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Include in your weekly rotation to diversify your nutritional intake.
Spinach khichri (Palak khichri/khichdi),102.18,17.35,3.43,1.91,0.21,1.56,0,10.43,Light on the digestive system; suitable for those recovering from illness. | Include in your weekly rotation to diversify your nutritional intake.
Vegetable mix,174.21,36.02,4.7,0.94,27.36,1.93,2.2,90.06,Pair with a glass of water or herbal tea for optimal digestive comfort. | Works well as a side dish or main course depending on your daily energy needs.
Lentils and wheat porridge (Dal wheat porridge/daliya ),52.54,8.36,2.71,0.94,0.92,1.28,0,26.28,Pair with a glass of water or herbal tea for optimal digestive comfort. | A great option during festive occasions — just keep portions in check.
Maize porridge,89.57,15.64,2.14,1.89,7.69,1.68,0,17.02,Consume in moderate portions and savour mindfully for maximum enjoyment. | A great option during festive occasions — just keep portions in check.
Spinach peanut burfi (Palak aur mungfali ki burfi),105.37,13.59,3.36,4.39,11.5,2.07,0,40.95,A great option during festive occasions — just keep portions in check. | Combining with a protein source makes this a more complete and satisfying meal.
Split bengal gram burfi/fudge (Channa dal burfi),287.36,54.63,4.65,7.09,43.38,2.06,15.06,16.44,Works well as a side dish or main course depending on your daily energy needs. | Combining with a protein source makes this a more complete and satisfying meal.
Chickpea flour cookies (Sweet besan rounds/cookies),207.01,39.64,4.29,3.42,30.66,2.56,6.15,54.95,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Consume sparingly; high sugar content may spike blood glucose levels.
Pearl millet mathri (Bajra mathri),785.08,7.42,1.82,83.12,0.16,1.36,6.55,4.63,Include in your weekly rotation to diversify your nutritional intake. | Enjoy in controlled portions; best reserved as an occasional indulgence.
Sesame biscuit (Til ke biscuit),424.03,53.65,8.27,19.34,29.73,6.83,28.19,298.06,Enjoy in controlled portions; best reserved as an occasional indulgence. | Excellent for bone and dental health — especially beneficial for growing children.
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),657.57,8.68,4.05,67.19,0.35,2.65,0,20.5,Ideal when combined with seasonal vegetables for a wholesome meal. | A great option during festive occasions — just keep portions in check.
Poshtik namak paras,613.39,19.52,6.49,56.58,0.87,4.55,14.3,60.74,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Pair with a glass of water or herbal tea for optimal digestive comfort."
Soya chikki,423.7,62.89,7.18,15.51,45.47,3.55,32.71,81.25,Ideal for breakfast or lunch to sustain energy and curb hunger longer. | Consider halving portion size if watching total caloric consumption.
Besan bathua chilla/cheela,373.82,40.65,11.48,18.57,1.45,7.79,40.83,64.75,Consume with plenty of water to support smooth digestion. | A great option during festive occasions — just keep portions in check.
Wheat flour and nuts ladoos (Atta nuts ladoos),391.9,44.31,9.46,19.19,15.94,7.3,25.45,127.29,A great option during festive occasions — just keep portions in check. | Moderate fat content — suitable for active individuals with higher energy demands.
Gram flour and semolina dhokla (Besan suji dhokla),198.91,25.92,8.52,7.1,2.58,4.59,1.39,66.66,Consume with plenty of water to support smooth digestion. | Combining with a protein source makes this a more complete and satisfying meal.
Atta dal burfi ,298.8,40.64,6.66,12.47,21.08,4.08,23.81,17.07,Consume with plenty of water to support smooth digestion. | Excellent choice for those managing cholesterol or blood sugar levels.
Soya roti,283.96,40.03,9.18,9.23,1.58,8.71,0.02,53.42,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Combining with a protein source makes this a more complete and satisfying meal."
Poshtik khichdi/khichri,93.37,15.64,3.04,1.88,0.26,2,0,30.41,Include in your weekly rotation to diversify your nutritional intake. | Ideal when combined with seasonal vegetables for a wholesome meal.
Namkeen daliya,295.11,49.32,8.29,7.99,0.82,8.57,0,35.98,Consume in moderate portions and savour mindfully for maximum enjoyment. | Consume with plenty of water to support smooth digestion.
Sprouts upma ,316.25,44.96,9.5,10.44,1.67,7.16,0,36.78,Consume in moderate portions and savour mindfully for maximum enjoyment. | Include in your weekly rotation to diversify your nutritional intake.
Semolina idli (Suji/Rava idli),206.39,33.67,9.34,3.47,3.42,5.85,3.48,100.85,Include in your weekly rotation to diversify your nutritional intake. | Consume with plenty of water to support smooth digestion.
Poshtik chilla/cheela,159.53,27.47,4.85,3.04,1.22,4.91,0,18.18,Consume with plenty of water to support smooth digestion. | Excellent choice for those managing cholesterol or blood sugar levels.
Stuffed bittergourd (dry) (Bharwa karela),217.65,2.49,1.29,22.38,0.07,3,0,16.72,Moderate fat content — suitable for active individuals with higher energy demands. | Works well as a side dish or main course depending on your daily energy needs.
Cauliflower potato canjee,16.79,2.63,0.57,0.39,0.13,0.69,0,6.78,A smart low-calorie option — ideal for weight management plans. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Creamed spinach,96.91,4.44,5.18,6.39,1.59,1.33,59.6,122.3,Can be eaten generously without fear of calorie overload; great as a snack. | A good addition for elderly individuals to maintain healthy bone density.
Mango milkshake with ice cream (Aam milkshake ice cream�ke�saath),68.35,9.18,1.93,2.8,9.11,0.23,1.3,69.36,A great option during festive occasions — just keep portions in check. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Pineapple milkshake with ice cream (Ananas milkshake ice cream�ke�saath),68.49,9.33,1.93,2.75,9.2,0.42,1.3,68.78,Fresh preparation retains the most nutrients; avoid overcooking. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Orange milkshake with ice cream (Narangi milkshake ice cream�ke�saath),67.82,9.15,1.95,2.75,9,0.16,1.3,69.8,"A great option during festive occasions — just keep portions in check. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Woodapple juice (Bel ka sharbat),34.18,6.51,0.63,0.7,5.75,1.03,0,11.85,Light on the digestive system; suitable for those recovering from illness. | Very low in fat — an excellent choice for heart-healthy and low-fat diets.
Sattu drink,23.38,5.16,0.56,0.14,3.96,0.4,0,1.59,Fresh preparation retains the most nutrients; avoid overcooking. | Ideal when combined with seasonal vegetables for a wholesome meal.
Apple and honey sorbet (Seb aur shehad ka sharbat),121.3,30.74,0.15,0.29,29.18,1.13,0,9.11,"Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Thandai,101.18,9.13,3.59,5.89,8.21,0.8,0,112.31,Ideal when combined with seasonal vegetables for a wholesome meal. | Pair with Vitamin D sources like sunlight or eggs for better calcium absorption.
Cucumber sharbat (Kheere ka sharbat),27.28,6.64,0.26,0.06,5.46,0.78,0,6.49,Light on the digestive system; suitable for those recovering from illness. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Apple oats chia seed smoothie,85.64,13.07,3.49,2.48,5.76,1.44,4.32,88.89,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Nannari sharbat,88.79,23.62,0.01,0.01,23.58,0,0,2.67,A great option during festive occasions — just keep portions in check. | Include in your weekly rotation to diversify your nutritional intake.
Semolina milk drink (Thari kanji),44.16,6.93,0.98,1.36,3.88,0.72,0.93,8.26,A smart low-calorie option — ideal for weight management plans. | Very low in fat — an excellent choice for heart-healthy and low-fat diets.
Saffron milk (Kesariya doodh),102.18,12.64,3.17,4.57,12.5,0.14,0,110.88,Include in your weekly rotation to diversify your nutritional intake. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Black rice kheer (Chak-hao kheer),147.94,22.93,4.37,4.91,12.57,0.76,0,94.89,A good addition for elderly individuals to maintain healthy bone density. | Combining with a protein source makes this a more complete and satisfying meal.
Coconut kheer (Nariyal ki kheer),162.61,14.42,3.4,10.55,13.73,1.53,3.22,89.52,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Pair with a glass of water or herbal tea for optimal digestive comfort."
Apple sago payasam (Seb aur sabudana ki kheer),136.5,14.4,3.13,7.66,10.63,0.38,10.85,102.11,Limit frequency for those managing diabetes or insulin sensitivity. | A great option during festive occasions — just keep portions in check.
Kesari bath,244.57,31.38,2.4,12.59,20.16,1.65,27.84,7.7,Limit frequency for those managing diabetes or insulin sensitivity. | A great option during festive occasions — just keep portions in check.
Putharekulu,318.3,59.61,3.66,7.55,23.86,1.75,18.39,6.11,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Combining with a protein source makes this a more complete and satisfying meal."
Mango malpua,334.64,12.84,1.65,30.67,4.96,2.08,75.21,10.64,Pair with a glass of water or herbal tea for optimal digestive comfort. | Rich in fats — consume mindfully and balance with active movement during the day.
Mango vanilla custard,147.63,18.41,3.43,7.04,14.62,0.99,0.35,84.86,A good addition for elderly individuals to maintain healthy bone density. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Kiwi granola pudding,280.99,32.33,5.6,15.36,15.08,3.71,20.27,62.2,Works well as a side dish or main course depending on your daily energy needs. | Limit frequency for those managing diabetes or insulin sensitivity.
Oats burfi,425.19,62.47,8.89,17.27,32.93,4.96,10.33,128.58,Excellent choice for those managing cholesterol or blood sugar levels. | Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact.
Lotus seed halwa (Kamal gattay ka halwa),370.55,39.56,7.79,20.69,9.8,0.42,45.24,82.84,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Consume in moderate portions and savour mindfully for maximum enjoyment."
Amaranth ladoo (Rajgira ladoo),454.15,51.33,10.12,22.7,19.92,5.11,33.64,144.58,Ideal for breakfast or lunch to sustain energy and curb hunger longer. | A good addition for elderly individuals to maintain healthy bone density.
Chhena poda,344.57,33.64,13.68,17.94,30.65,1.4,3.31,295.29,Pair with complex carbs for a complete and balanced macronutrient meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Sweet couscous dessert,196.2,29.69,3.81,7.69,15.89,2.18,9.37,30.94,Consume sparingly; high sugar content may spike blood glucose levels. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Sweetened yogurt (Shrikhand),107.18,16.02,5.27,2.89,15.81,0.08,9.95,183.02,A good addition for elderly individuals to maintain healthy bone density. | Include in your weekly rotation to diversify your nutritional intake.
Thickened sweetened milk (Rabri),102.79,10.55,3.52,5.35,10.09,0.19,0,111.87,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Include in your weekly rotation to diversify your nutritional intake.
Gram flour halwa (Besan halwa),276.79,25.78,5.88,17.3,15.83,1.82,33.12,77.42,Works well as a side dish or main course depending on your daily energy needs. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Prawn sandwich,169.65,11.89,10.36,9.27,1.21,1.55,40.7,75.53,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Watercress sandwich,229.42,28.03,5.17,11.47,1.81,2.26,26.56,98.16,Include in your weekly rotation to diversify your nutritional intake. | Moderate fat content — suitable for active individuals with higher energy demands.
Fish sandwich ,150.2,10.09,4.72,10.37,1.04,1.23,8.41,47.28,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Moderate fat content — suitable for active individuals with higher energy demands.
Kidney bean sandwich with cottage cheese,176.64,18.86,9.85,6.84,3.69,3.66,2.67,166.63,Consume in moderate portions and savour mindfully for maximum enjoyment. | Excellent choice for those managing cholesterol or blood sugar levels.
Finger millet biscuit (Ragi biscuit),458.56,52.69,4.03,25.79,16.9,5.97,64.19,207.04,Consume in moderate portions and savour mindfully for maximum enjoyment. | Moderate fat content — suitable for active individuals with higher energy demands.
Buttermilk biscuit,322.54,34.93,5.76,17.5,3.44,1.18,45.41,67.16,A great option during festive occasions — just keep portions in check. | Include in your weekly rotation to diversify your nutritional intake.
Lemon cookies,394.48,42.19,5.63,23.02,23.47,0.78,82.16,72.04,Consume sparingly; high sugar content may spike blood glucose levels. | Ideal when combined with seasonal vegetables for a wholesome meal.
Sweet potato biscuit (Shakarkand ke biscuit),296.4,38.13,5.14,13.31,2.53,2.27,33.83,56.34,Moderate fat content — suitable for active individuals with higher energy demands. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Raspberry shortbread cookies,441.12,61.25,3,21.25,40.86,0.75,54.36,13.81,Consume in moderate portions and savour mindfully for maximum enjoyment. | Ideal when combined with seasonal vegetables for a wholesome meal.
Pumpkin cookies ,218.4,44.69,2.51,3.93,31.62,1.06,22.23,19.36,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact.
Greenpea cookies,159.42,23.07,6.53,4.24,14.45,5.32,0,48.45,"Include in your weekly rotation to diversify your nutritional intake. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Sunflower cookies,520.62,40.06,9.49,36.28,24.28,3.95,26.38,70.45,Rich in fats — consume mindfully and balance with active movement during the day. | Consume sparingly; high sugar content may spike blood glucose levels.
Cardamom cookies (Elaichi cookies),400.49,53.99,5.1,19.12,38.99,2.79,111.21,25.21,Pair with a glass of water or herbal tea for optimal digestive comfort. | Limit frequency for those managing diabetes or insulin sensitivity.
Hazelnut cookies,493.32,39.44,6.25,34.97,22.01,2.45,46.99,47.43,Consider halving portion size if watching total caloric consumption. | Fresh preparation retains the most nutrients; avoid overcooking.
Milk cookies,459.43,48.43,10.49,24.96,22.06,0.99,67.93,251.59,Consume in moderate portions and savour mindfully for maximum enjoyment. | Add a side of leafy greens to boost micronutrient absorption.
Cranberry cookies,272.48,36.39,3.92,12.66,19.96,1.13,58.22,36.16,Ideal when combined with seasonal vegetables for a wholesome meal. | Combining with a protein source makes this a more complete and satisfying meal.
Olive biscuit,438.29,55.01,3.2,23.75,32.27,0.82,48.63,10.76,Rich in fats — consume mindfully and balance with active movement during the day. | Include in your weekly rotation to diversify your nutritional intake.
Tutti fruitti biscuit,420.78,53.12,5.21,17.9,15.75,5.43,44.48,23.81,Pair with a glass of water or herbal tea for optimal digestive comfort. | Balance with lighter meals throughout the day to manage daily calorie intake.
Peach blueberry preserves,177.38,45.76,0.53,0.2,45.33,1.14,0,9.03,Very low in fat — an excellent choice for heart-healthy and low-fat diets. | Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact.
Pear preserves (Naashpati ka murabba),101.24,25.67,0.25,0.19,25.19,3.06,0,6.57,Very low in fat — an excellent choice for heart-healthy and low-fat diets. | Combining with a protein source makes this a more complete and satisfying meal.
Starfruit preserves ,128.93,33.62,0.24,0.12,33.47,0.78,0,5.24,Very low in fat — an excellent choice for heart-healthy and low-fat diets. | Limit frequency for those managing diabetes or insulin sensitivity.
Gooseberry pickle (Amla ka achaar),278.58,7.61,1.55,27.61,0.36,3.7,0,31.17,Consume in moderate portions and savour mindfully for maximum enjoyment. | Rich in fats — consume mindfully and balance with active movement during the day.
Lotus stem pickle (Kamal kakdi ka achar),102.69,20.07,1.44,1.6,2.53,8.58,0,137.73,Excellent choice for those managing cholesterol or blood sugar levels. | A good addition for elderly individuals to maintain healthy bone density.
Date pickle (Khajoor ka achaar),182.29,34.66,1.68,4.21,30.47,5.2,0,41.49,Combining with a protein source makes this a more complete and satisfying meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Garlic pickle (Lahasun ka achar),413.62,9.75,3.72,39.88,2.32,5.13,0,54.66,Combining with a protein source makes this a more complete and satisfying meal. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Fermented bamboo shoot pickle (Mesu pickle),59.83,1.73,1.58,5.59,0.29,2.24,0,16.62,Fresh preparation retains the most nutrients; avoid overcooking. | Works well as a side dish or main course depending on your daily energy needs.
Sweet peach pickle (Aadoo ka achaar),144.64,37.01,0.46,0.2,36.46,1.32,0,11.99,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Combining with a protein source makes this a more complete and satisfying meal.
Pickled mustard greens ,13.12,1.05,1.51,0.22,0.02,1.7,0,81.44,Consume in moderate portions and savour mindfully for maximum enjoyment. | Fresh preparation retains the most nutrients; avoid overcooking.
Small onion pickle ,16.86,2.76,1.65,0.64,2.99,1.09,0,31.95,"Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Green tomato pickle (Haray tamatar ka achaar),193.26,2.87,1.23,19.67,0.77,1.74,0,14.22,Pair with a glass of water or herbal tea for optimal digestive comfort. | Works well as a side dish or main course depending on your daily energy needs.
Pickled cabbage ,13.69,2.56,0.39,0.14,2.08,0.61,0,15.96,Can be eaten generously without fear of calorie overload; great as a snack. | Include in your weekly rotation to diversify your nutritional intake.
Coconut pickle (Nariyal ka aachar),517.26,11.53,3.02,51.71,8.98,6.35,0,44.78,"Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Potato pickle (Aloo ka achaar),369.14,7.87,2.07,36.46,0.82,2.21,0,48.46,"A great option during festive occasions — just keep portions in check. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Mango murabba candy,293.35,77.32,0.27,0.05,74.73,0.95,0,16.55,Consume sparingly; high sugar content may spike blood glucose levels. | Light on the digestive system; suitable for those recovering from illness.
Afghani chicken,151.51,1.95,15.66,9.07,0.83,0.31,42.14,35.14,Consume in moderate portions and savour mindfully for maximum enjoyment. | Pair with complex carbs for a complete and balanced macronutrient meal.
Fish orly,563.7,4.27,5.87,58.18,0.24,0.33,11.78,9.55,Ideal when combined with seasonal vegetables for a wholesome meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Hariyali Fish Tikka,150.24,2.21,14.01,9.41,0.83,0.99,43.28,34.86,Ideal when combined with seasonal vegetables for a wholesome meal. | Best consumed post-workout to aid in muscle recovery and repair.
Chicken manchurian,142.34,6.06,9.53,11.96,0.9,0.41,37.88,26.52,Ideal for breakfast or lunch to sustain energy and curb hunger longer. | Include in your weekly rotation to diversify your nutritional intake.
Handi chicken,166.02,1.49,12.32,12.46,0.75,0.67,33.71,26.85,A great option during festive occasions — just keep portions in check. | Moderate fat content — suitable for active individuals with higher energy demands.
Lemon chicken,169.79,0.55,20.2,9.66,0.16,0.16,60.15,17.4,Pair with complex carbs for a complete and balanced macronutrient meal. | Works well as a side dish or main course depending on your daily energy needs.
Lemon butter fish,160.25,0.75,16.38,10.26,0.23,0.36,46.11,18.66,A great option during festive occasions — just keep portions in check. | Combining with a protein source makes this a more complete and satisfying meal.
Baked eggs in tomato sauce,80.05,3.78,4.92,5.22,2.03,0.01,77.26,71.94,Can be eaten generously without fear of calorie overload; great as a snack. | Works well as a side dish or main course depending on your daily energy needs.
Egg in a pepper,128.78,0.17,12.64,8.68,0.05,0.17,345.88,48.25,Works well as a side dish or main course depending on your daily energy needs. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Spinach mushroom scrambled egg (Palak mushroom bhurji),158.85,0.59,13.28,11.51,0.1,0.39,276.56,140.31,A great option during festive occasions — just keep portions in check. | Fresh preparation retains the most nutrients; avoid overcooking.
Corn omelette/omlet,166.93,1.57,11.37,12.89,0.41,0.02,253.36,96.22,Pair with complex carbs for a complete and balanced macronutrient meal. | Works well as a side dish or main course depending on your daily energy needs.
Cajun chicken,184.94,1.94,12.69,13.99,1.1,0.89,39.32,156.98,A good addition for elderly individuals to maintain healthy bone density. | Include in your weekly rotation to diversify your nutritional intake.
Paaner do pyaza,127.7,3.41,4.22,10.87,2.2,0.84,15.07,57.22,A great option during festive occasions — just keep portions in check. | Works well as a side dish or main course depending on your daily energy needs.
Cabbage manchurian (Pattagobhi manchurian),224.26,4.85,0.64,22.48,0.33,0.37,0.18,3.18,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Moderate fat content — suitable for active individuals with higher energy demands.
Gobi 65,278.29,3.59,0.56,29.11,0.29,0.57,0.29,12.37,Consider halving portion size if watching total caloric consumption. | Ideal when combined with seasonal vegetables for a wholesome meal.
Paneer lababdar,105.48,3.37,3.98,8.46,1.96,1.16,7.19,55.56,Pair with a glass of water or herbal tea for optimal digestive comfort. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Roasted cauliflower steak,78.68,2.02,2.05,6.7,0.44,3.53,0,24.47,Fresh preparation retains the most nutrients; avoid overcooking. | A smart low-calorie option — ideal for weight management plans.
Sauteed radishes with green beans,94.32,6.04,2.41,6.61,1.78,3.52,7.44,40.2,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Fresh preparation retains the most nutrients; avoid overcooking.
Garlic chutney/Poondu chutney (Lahasun ki chutney),255.51,20.44,3.34,17.55,13.36,5.15,0,63.51,Limit frequency for those managing diabetes or insulin sensitivity. | Great as a midday meal to maintain healthy gut function and satiety.
Schezwan chutney,205.19,10.79,3.33,17.72,5.66,5.72,0.79,35.46,Moderate fat content — suitable for active individuals with higher energy demands. | Fresh preparation retains the most nutrients; avoid overcooking.
Onion chutney (Pyaaz ki chutney/Vengaya chutney),143.94,13.52,2.97,8.38,6.8,4.6,0,28.5,Consume in moderate portions and savour mindfully for maximum enjoyment. | Combining with a protein source makes this a more complete and satisfying meal.
Dates chutney (Khajoor ki chutney),103.57,21.69,1.07,1.12,18.68,3.41,0,28.72,Light on the digestive system; suitable for those recovering from illness. | Combining with a protein source makes this a more complete and satisfying meal.
Chicken salad,338.19,1.3,15.33,30.26,0.96,2,47.62,43.19,Ideal when combined with seasonal vegetables for a wholesome meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Macaroni salad,262.19,21.63,5.02,17.78,3.73,0.56,58.64,35.7,Consume in moderate portions and savour mindfully for maximum enjoyment. | Combining with a protein source makes this a more complete and satisfying meal.
Cabbage raita (Pattagobhi raita),84.84,5.25,3.24,5.76,4.21,0.93,16.26,118.49,"Fresh preparation retains the most nutrients; avoid overcooking. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Pomegranate raita (Anaar ka raita),72.64,7.15,4.05,3.24,7.01,0.6,4.67,138.31,Can be eaten generously without fear of calorie overload; great as a snack. | Works well as a side dish or main course depending on your daily energy needs.
Onion raita (Pyaaz ka raita),71.56,7.86,4.86,2.43,7.07,0.65,8.61,163.8,Include in your weekly rotation to diversify your nutritional intake. | Include in evening meals for light yet satisfying nourishment.
Green chilli raita (Hari mirch ka raita),77.13,7.66,5.58,2.92,7.49,0.26,10.52,193.58,Include in your weekly rotation to diversify your nutritional intake. | Excellent for bone and dental health — especially beneficial for growing children.
Kale salad,177.71,5.01,4.86,15.33,3.31,1.36,6.12,109.11,Consume in moderate portions and savour mindfully for maximum enjoyment. | Works well as a side dish or main course depending on your daily energy needs.
Spinach and paneer souffle ,186.19,9.64,7.56,13.49,2.81,1.07,76.02,114.32,Works well as a side dish or main course depending on your daily energy needs. | A good addition for elderly individuals to maintain healthy bone density.
Masala souffle ,123.51,8.02,6.38,7.37,1.84,1.24,86.45,103.68,Rich in dietary cholesterol — complement with high-fibre foods to maintain heart health. | Works well as a side dish or main course depending on your daily energy needs.
Chicken and cheese souffle,182.35,3.47,9.07,14.74,2.46,0.26,89.24,61.71,Those with cardiovascular conditions should limit intake to once or twice a week. | Rich in dietary cholesterol — complement with high-fibre foods to maintain heart health.
Tamarind chutney (Chintapandu pachadi/Puli chutney),109.15,25.07,0.88,0.48,22.85,1.65,0.68,40.3,Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Pav bhaji masala,230.47,29.15,9.13,10.96,1.48,24.3,0,588.91,Excellent choice for those managing cholesterol or blood sugar levels. | Include in your weekly rotation to diversify your nutritional intake.
Green chutney,79.42,10.01,5.42,1.6,0.92,5.84,0,112.74,Very low in fat — an excellent choice for heart-healthy and low-fat diets. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Sago khitchdi/khichri (Sabudana khitchdi/khichri),187.16,22.41,2.72,10.1,1.03,1.82,12.24,15.13,Pair with a glass of water or herbal tea for optimal digestive comfort. | A great option during festive occasions — just keep portions in check.
Gram flour chilla/cheela (Besan chilla/cheela),135.93,21.03,7.8,2.85,1.87,4.25,0,28.38,Consume with plenty of water to support smooth digestion. | Include in your weekly rotation to diversify your nutritional intake.
Vegetable namkeen jave,112.23,18.98,2.93,2.51,1.04,2.86,3.41,10.32,Works well as a side dish or main course depending on your daily energy needs. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Khakhra,178.5,27.66,4.78,5.32,0.88,5.43,0,21.27,Fresh preparation retains the most nutrients; avoid overcooking. | Include in your weekly rotation to diversify your nutritional intake.
Moong bean dosa (Pesarattu),285.96,31.91,12.32,11.67,2.9,6.04,17.86,36.44,Consume with plenty of water to support smooth digestion. | Fresh preparation retains the most nutrients; avoid overcooking.
Methi thepla,346.16,41.34,8.98,15.95,2.98,7.56,1.85,73.51,Consume with plenty of water to support smooth digestion. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Rice puttu (Ari puttu),81.98,11.82,1.26,3.13,0.33,0.76,0,4.96,Works well as a side dish or main course depending on your daily energy needs. | Ideal when combined with seasonal vegetables for a wholesome meal.
Buckwheat pancake (Khura),263.3,27.28,2.91,16.43,0.64,0.56,41.31,11.32,Consider halving portion size if watching total caloric consumption. | Ideal when combined with seasonal vegetables for a wholesome meal.
